num_features,last_feature_added,r2_val,r2_test,rmse_val,rmse_test,pct_of_baseline_val,pct_of_baseline_test
1,budget_log,0.5942578210573881,0.5965136419412616,1.8507925438992048,1.9458992388644853,80.59538092686411,81.80917134205215
2,vote_count_log,0.677312823693233,0.6716771075187985,1.6505303555890871,1.7553208153846973,91.85959881028543,92.11750362777154
3,release_year,0.6990127908010495,0.6924089873325967,1.5940674093122724,1.6989975056844018,94.80262631986533,94.96078798655047
4,runtime,0.7124174378745441,0.7127170034898103,1.5581667655538034,1.6419536042884346,96.62061272037438,97.74594134535035
5,popularity_log,0.711381220173859,0.7168632082007926,1.5609714352000077,1.630061814051997,96.48007715256092,98.31457473069274
6,vote_average,0.7130899104714067,0.7195818298896852,1.556343919082693,1.6222171775540564,96.71181587023041,98.68742150555784
7,cast_size,0.7121261364170266,0.7162993928749064,1.5589557239719072,1.6316839924167172,96.581105370027,98.2372499867848
8,production_company_count,0.7139526988974487,0.7167855660064417,1.5540020590455372,1.6302852977258768,96.82883033666589,98.3039264518699
9,production_country_count,0.7174878339577042,0.7184689826737263,1.5443695854635082,1.6254328970248952,97.30827805567486,98.53479949967775
10,release_month,0.7181391728724257,0.7183641550654775,1.5425882666627844,1.6257354824849328,97.39661497962324,98.52042286323287
11,lang_en,0.7206003637561385,0.7212696329288046,1.5358386084567979,1.6173278449121002,97.73041053060749,98.91889612459522
12,genre_Drama,0.7217437897749501,0.7231342665538323,1.5326927235221157,1.6119090158531697,97.88548607573676,99.17462226561625
13,lang_fr,0.7223483951433891,0.7243807928242005,1.5310266723427215,1.6082762917780997,97.96748482821943,99.34557775441792
14,director_count,0.7221282162047133,0.7226980722399879,1.5316336074692984,1.6131782751896255,97.93762336942858,99.11480017128227
15,genre_Thriller,0.7252565457994254,0.72441939725967,1.5229875029806814,1.6081636567169555,98.36189866950285,99.35087217964784
16,genre_Comedy,0.7263958632933452,0.7249903450170235,1.5198264287441183,1.606496896634251,98.5164170017239,99.42917510455109
17,genre_Horror,0.7272766114442062,0.7249920245782329,1.517378250664544,1.606491990962866,98.63586723057064,99.42940544884013
18,genre_Action,0.7276745734491836,0.7249923393117583,1.5162707560983975,1.6064910716858305,98.68984026760785,99.42944861313194
19,genre_Crime,0.728340593902536,0.7249428631541062,1.5144154656135875,1.6066355757166262,98.78016835457774,99.42266317995133
20,lang_es,0.7347024562054117,0.72886068155293,1.496577726134901,1.5951523585425675,99.64298697897918,99.95997440662063
21,genre_Adventure,0.7347964797422921,0.7286376936177668,1.496312503172939,1.595808159091822,99.65573878888802,99.92939261114716
22,genre_Family,0.7359019175243691,0.7286844265811752,1.49319073534149,1.5956707412307893,99.80566223285533,99.93580182753718
23,genre_Science Fiction,0.7371177776240279,0.7295032441816549,1.4897495792854663,1.5932610922969945,99.97056154829289,100.04809899002542
24,genre_Romance,0.7372532383842515,0.7294231196039878,1.4893657027871243,1.5934970469197502,99.98893322332013,100.03711026346127
25,lang_ru,0.7375152597295411,0.7289496050131126,1.4886228906906809,1.594890762216311,100.02446949964042,99.97216986046931
26,lang_hi,0.7371606025836658,0.7292994520077927,1.4896282301437886,1.5938611605075301,99.97636962319388,100.02014980714435
