feature,importance,method,rank,importance_norm
budget_log,0.7790695366749617,Correlation,1,1.0
vote_count_log,0.6984566999192887,Correlation,2,0.8935048355796679
popularity_log,0.6413483219347603,Correlation,3,0.8180606960603767
cast_size,0.38365731832199673,Correlation,4,0.4776329564615661
production_company_count,0.22746945572163785,Correlation,5,0.2712979262417676
lang_en,0.22735939075899117,Correlation,6,0.2711525227704879
genre_Adventure,0.21294536031488873,Correlation,7,0.25211058597874814
runtime,0.15213876392136022,Correlation,8,0.17178084270974095
genre_Drama,0.1408361770627371,Correlation,9,0.1568493393124306
genre_Family,0.1398094525692232,Correlation,10,0.15549296484216424
vote_average,0.11460204102751399,Correlation,11,0.12219222088147755
genre_Science Fiction,0.1002440112117912,Correlation,12,0.10322426481497893
production_country_count,0.0901514759226503,Correlation,13,0.08989132370669534
director_count,0.08741461217091555,Correlation,14,0.08627573632672975
genre_Action,0.07473980677509874,Correlation,15,0.06953143679644141
lang_ru,0.06883115630133146,Correlation,16,0.061725698541462586
genre_Thriller,0.04899179229190885,Correlation,17,0.03551651874815135
lang_es,0.04457758602642069,Correlation,18,0.029685045239121903
lang_fr,0.04182279117778728,Correlation,19,0.02604576963294677
lang_hi,0.041785485063583865,Correlation,20,0.025996485661238668
release_month,0.03795838254843886,Correlation,21,0.020940617042706867
genre_Horror,0.02934730783993145,Correlation,22,0.009564788405170105
release_year,0.026038856963850728,Correlation,23,0.005194094676915793
genre_Romance,0.025625982675202826,Correlation,24,0.004648659023934736
genre_Comedy,0.02358999031287217,Correlation,25,0.001958971498831171
genre_Crime,0.022107122517851956,Correlation,26,0.0
budget_log,0.46055889389764604,Random Forest,1,1.0
vote_count_log,0.3451547468255219,Random Forest,2,0.7493255559246738
release_year,0.03179108665810466,Random Forest,3,0.06865451160956818
runtime,0.0304116785596676,Random Forest,4,0.06565823836461616
popularity_log,0.027264190021807667,Random Forest,5,0.05882143951917778
vote_average,0.021402510748011267,Random Forest,6,0.04608902711818789
cast_size,0.02023823671909719,Random Forest,7,0.04356005608591661
production_company_count,0.012638525646346701,Random Forest,8,0.027052388063343483
release_month,0.009871235282497236,Random Forest,9,0.02104143446113509
production_country_count,0.008514527486740057,Random Forest,10,0.018094469546074066
lang_en,0.004173978571286979,Random Forest,11,0.008666171569200212
genre_Drama,0.0033827754042043347,Random Forest,12,0.006947564230634413
lang_fr,0.0028972562033235346,Random Forest,13,0.005892946533987621
genre_Comedy,0.002510906868786643,Random Forest,14,0.005053740083344383
genre_Thriller,0.0023511333577323295,Random Forest,15,0.004706688984422675
director_count,0.002309810652811468,Random Forest,16,0.004616930112263151
genre_Crime,0.002129198678507059,Random Forest,17,0.00422461486709428
genre_Action,0.0020875128851578243,Random Forest,18,0.004134067314525587
genre_Horror,0.0019727039700538885,Random Forest,19,0.0038846858000936664
lang_es,0.0016161776442285359,Random Forest,20,0.003110259223649806
genre_Romance,0.0016054346589878907,Random Forest,21,0.0030869239110009015
genre_Adventure,0.0015207830212569317,Random Forest,22,0.0029030483504890923
genre_Family,0.0013885660116574475,Random Forest,23,0.0026158539452660365
genre_Science Fiction,0.0013789207601778675,Random Forest,24,0.0025949030685952063
lang_ru,0.0006449161700126188,Random Forest,25,0.0010005392848273726
lang_hi,0.00018429329637433513,Random Forest,26,0.0
