feature_removed,r2_val,r2_test,r2_drop_val,r2_drop_test,rmse_val,rmse_test,rmse_increase_val,rmse_increase_test
budget_log,0.5726919232623073,0.5416909655022097,0.16464291432180245,0.18746156367716504,1.8993421820829959,2.073887192322197,0.4102077675638942,0.47959355610381915
vote_count_log,0.7043078152486911,0.710725960979669,0.033027022335418654,0.018426568199705784,1.5799836242109393,1.6476336386693948,0.09084920969183763,0.05334000245101711
release_year,0.7196264636688225,0.7186006056377651,0.017708373915287234,0.01055192354160972,1.5385130074094264,1.6250528868403304,0.04937859289032476,0.030759250621952727
runtime,0.7306089318321071,0.724610211437493,0.006725905752002714,0.004542317741881741,1.5080795777417784,1.6076068077235017,0.018945163222676698,0.01331317150512401
lang_es,0.7301753957668689,0.7250945643880722,0.00715944181724093,0.004057964791302604,1.5092925801924417,1.6061924637561145,0.020158165673340056,0.011898827537736745
cast_size,0.7390382907269964,0.7270323367820213,-0.0017034531428866684,0.002120192397353504,1.4842978446234765,1.6005215325640716,-0.004836569895625198,0.006227896345693873
popularity_log,0.7390542114490788,0.727133554452005,-0.0017193738649690093,0.0020189747273697822,1.4842525669964077,1.600224764663352,-0.004881847522693938,0.005931128444974343
lang_en,0.7355432232679758,0.7275445809867476,0.0017916143161339493,0.0016079481926272177,1.4942044064710358,1.599019078276303,0.0050699919519341385,0.004725442057925244
production_country_count,0.7344207568565899,0.7278702511674351,0.0029140807275198632,0.001282278011939697,1.497372066542244,1.5980631263941805,0.008237652023142417,0.0037694901758027477
lang_fr,0.7367144749795,0.728464500209019,0.0006203626046097366,0.0006880289703558029,1.4908918963241027,1.596317329604502,0.0017574818050010155,0.0020236933861241813
genre_Comedy,0.7360941995626378,0.7285579461145706,0.001240638021472007,0.0005945830648041994,1.492647062259457,1.596042628590317,0.0035126477403553125,0.001748992371939373
genre_Drama,0.7354545227152756,0.7286180613523584,0.0018803148688342208,0.0005344678270163827,1.4944549684849424,1.5958658840631195,0.005320553965840746,0.0015722478447417476
genre_Thriller,0.7354328627611539,0.7286908750988719,0.001901974822955843,0.0004616540805029157,1.4945161473110455,1.5956517784929993,0.005381732791943872,0.0013581422746216099
genre_Action,0.7368391944026544,0.7287952750266248,0.0004956431814553408,0.0003572541527500084,1.4905387337204854,1.595344745032308,0.0014043192013837302,0.0010511088139302238
genre_Science Fiction,0.7365790313674129,0.7291301545469866,0.0007558062166969082,2.2374632388189042e-05,1.4912753314181428,1.5943594869299302,0.0021409168990411676,6.585071155251754e-05
lang_hi,0.7369223545030366,0.7291725927234058,0.00041248308107322273,-2.0063544031057035e-05,1.490303206350724,1.594234584950755,0.001168791831622329,-5.9051267622622916e-05
lang_ru,0.7371573463174362,0.7291939138082897,0.0001774912666735462,-4.13846289148978e-05,1.4896374574725773,1.5941718300762275,0.0005030429534755854,-0.0001218061421501826
genre_Adventure,0.7369384259384226,0.7292090162936843,0.0003964116456871558,-5.6487114309500264e-05,1.4902576842816606,1.594127377064113,0.0011232697625589427,-0.00016625915426482507
genre_Romance,0.7365007794261441,0.7293363142124345,0.000834058157965667,-0.0001837850330597135,1.491496814402512,1.593752636093749,0.00236239988341036,-0.0005410001246286544
genre_Family,0.7361500923344613,0.7294439736934192,0.0011847452496485111,-0.0002914445140443922,1.4924889895696567,1.5934356381803922,0.003354575050555031,-0.0008579980379854746
genre_Horror,0.7359806464920722,0.7295665694320027,0.0013541910920376043,-0.000414040252627923,1.4929681549151352,1.5930745843980196,0.003833740396033569,-0.0012190518203580858
release_month,0.7368590899842445,0.7296080954725481,0.0004757475998652394,-0.0004555662931733373,1.4904823885222644,1.5929522684931596,0.0013479740031627774,-0.00134136772521809
genre_Crime,0.7365374050443403,0.7296151970869815,0.0007974325397694937,-0.0004626679076067397,1.4913931539606977,1.5929313495845092,0.002258739441596047,-0.0013622866338685036
vote_average,0.7396945966876891,0.7302471401840362,-0.0023597591035793286,-0.001094611004661461,1.4824302013126525,1.5910687618417607,-0.0067042132064492055,-0.003224874376617004
director_count,0.7372225648664452,0.7302724417148032,0.00011227271766456326,-0.0011199125354284245,1.4894526358322575,1.5909941427640089,0.000318221313155842,-0.0032994934543688625
production_company_count,0.7377458926791296,0.7309023887150361,-0.00041105509501981885,-0.0017498595356613134,1.4879687556410086,1.589135178368988,-0.0011656588780930566,-0.00515845784938973
